tư_vấn thuốc huyết_áp	chào bác sỹ cho tôi hỏi thuốc huyết_áp savi dopril có làm tăng nhịp tim khi uống không ả 
chỉ_số crp mg l	con tôi được tháng tuổi cháu bị ho thở khò_khè và sốt bsi khám và xác_định cháu bị viêm_phổi và kê thuốc về uônga nhưng chưa giải_thích chỉ_số crp mg l cao hơn hẳn chỉ_số bình_thường là mg l vậy cho tôi hỏi mức cao như vậy có nguy_hiểm ko có cần phải nhập_viện ko ạ mong sớm nhận được phản_hồi từ các bác_sĩ xin cảm_ơn 
hít thở khó	em chào bác_sĩ ạ khoảng tháng trở_lại đây e đột_nhiên khó thở khi hít vào biểu_hiện là thường_xuyên muốn hít sâu vào nhưng khi hít sâu khoảng lần thì chỉ được vài lần đủ khí xuống tới bụng còn lại là chỉ hít được tới lồng_ngực thì hết_sạch khí không thể hít thêm được nữa lúc này sẽ bị tức đoạn ngực ở giữa xương_ức ạ ngoài ra còn kèm thèo biểu_hiện là khi ăn no và hút thuốc sẽ lại càng khó hít vào hơn nữa nếu muốn đủ khí thì sẽ phải ngáp liên_tục ạ mỗi lần ngáp e sẽ hít được đủ khí ạ nhưng không phải lúc nào cũng ngáp được ạ e rất mong được sự tư_vấn tận_tình của bác_sĩ ạ e cảm_ơn 
kho tho	ạ vũ quân em chào bác_sĩ ạ khoảng tháng trở_lại đây e đột_nhiên khó thở khi hít vào biểu_hiện là thường_xuyên muốn hít sâu vào nhưng khi hít sâu khoảng lần thì chỉ được vài lần đủ khí xuống tới bụng còn lại là chỉ hít được tới lồng_ngực thì hết_sạch khí không thể hít thêm được nữa lúc này sẽ bị tức đoạn ngực ở giữa xương_ức ạ ngoài ra còn kèm thèo biểu_hiện là thường_xuyên lấy sức ho cái thật mạnh để bật được cái dịch gì đó trong lồng_ngực ra ấy ạ ko biết e mô_tả vậy đúng ko nữa nếu muốn đủ khí thì sẽ phải ngáp liên_tục ạ mỗi lần ngáp e sẽ hít được đủ khí ạ nhưng không phải lúc nào cũng ngáp được ạ em đã đi khám viện lớn là và phổi trung_ương viện thì chụp xquang tim phổi điện tim siêu_âm tim thử máu thông khí phổi siêu_âm ổ bụng kết_quả là mấy cái đó đều không sao bs đành kết_luận rối_loạn thần_kinh thực_vật và kê thuốc rối_loạn thần_kinh cùng loại thuốc có tên astmodil trị hen thì phải ạ nhưng e uống vài hôm ko đỡ mà nặng thêm í ạ vì vậy e đi khám viện phổi tw viện này cho chụp ct cắt lớp lồng_ngực và phổi đo hô_hấp test giãn phế_quản kết_quả cũng không có gì đặc_biệt ngoài câu theo_dõi viêm phế_quản và không cho thuốc gì em có năn_nỉ ỉ ôi thì bs kê cho e lọ thuốc xịt ventolin rồi dặn xịt xong thấy đỡ thì quay_lại điều_trị theo hướng hen phế_quản tuy nhiên e xịt vào cả tiếng đồng_hồ vẫn không làm giảm triệu_chứng e kể trên thuốc có tác_dụng sau phút và kéo_dài tiếng ạ thưa bác_sĩ e đã mô_tả rất kỹ triệu_chứng và quy_trình khám bệnh ở viện lớn rồi e thấy viện lớn khám không tận_tụy chút nào cả e mô_tả bệnh thì bác_sĩ cứ như nghĩ e nói đùa ấy ạ e rất mong được sự tư_vấn tận_tình của bác_sĩ ạ e cảm_ơn 
khó thở khi hít vào không đủ oxy	em chào bác_sĩ ạ khoảng tháng trở_lại đây e đột_nhiên khó thở khi hít vào biểu_hiện là thường_xuyên muốn hít sâu vào nhưng khi hít sâu khoảng lần thì chỉ được vài lần đủ khí xuống tới bụng còn lại là chỉ hít được tới lồng_ngực thì hết_sạch khí không thể hít thêm được nữa lúc này sẽ bị tức đoạn ngực ở giữa xương_ức ạ ngoài ra còn kèm thèo biểu_hiện là khi ăn no và hút thuốc sẽ lại càng khó hít vào hơn nữa nếu muốn đủ khí thì sẽ phải ngáp liên_tục ạ mỗi lần ngáp e sẽ hít được đủ khí ạ nhưng không phải lúc nào cũng ngáp được ạ e rất mong được sự tư_vấn tận_tình của bác_sĩ ạ e cảm_ơn 
khó thở khi hít vào không đủ oxy	em chào bác_sĩ ạ khoảng tháng trở_lại đây e đột_nhiên khó thở khi hít vào biểu_hiện là thường_xuyên muốn hít sâu vào nhưng khi hít sâu khoảng lần thì chỉ được vài lần đủ khí xuống tới bụng còn lại là chỉ hít được tới lồng_ngực thì hết_sạch khí không thể hít thêm được nữa lúc này sẽ bị tức đoạn ngực ở giữa xương_ức ạ ngoài ra còn kèm thèo biểu_hiện là khi ăn no và hút thuốc sẽ lại càng khó hít vào hơn nữa nếu muốn đủ khí thì sẽ phải ngáp liên_tục ạ mỗi lần ngáp e sẽ hít được đủ khí ạ nhưng không phải lúc nào cũng ngáp được ạ e rất mong được sự tư_vấn tận_tình của bác_sĩ ạ e cảm_ơn 
em bị khó thở	chào bác_sĩ ạ e bị khó thở khi hít vào hít đến cổ thì nghẹn k vào được nữa lâu_lâu mới đc lần vào trong ạ kiểu dang như có gì đó ngăn ở giữa làm cho không_khí k hít vào đc ạ thi thoảng e phải ngáp để lấy không_khí nhưng có những lúc không ngáp được ạ rất khó_chịu và cảm_giác thiếu oxi ấy ạ hơi_thở của e cũng rất nông và không đc bình_thường khi hít vào e phải lấy hơi thật mạnh nhưng lấy khoảng lần thì chỉ đc lần là khong khí đi vào trong còn lại là bị nghenn ở cổ k đi vào đc e đã đi khám tại thu_cúc bạch_mai và đại_học y hn thu_cúc thì bảo e bị trào ngược dạ_dày có kê đơn để uống nhưng e k thấy đỡ e sang bạch_mai thì họ cho khám tim phổi hô_hấp nhưng mọi thứ bình_thường bên đại_học y thì bảo bị rối_loạn thần_kinh thực_vật e uống nhưng cũng k thấy đỡ đáng_kể mong bsi giúp e ạ e cin cảm_ơn 
khó thở khi thở phải lấy hơi	em chào bác_sĩ ạ em bị khó thở và mỗi khi thở phải lấy hơi mạnh mới có thể thở được cảm_giác như bị ai đang siết cổ vậy ạ bác_sĩ có biết đây là triệu_chứng hay bệnh gì ko 
mong bác_sĩ tư_vấn giúp em cho em biết em bị bệnh gì ạ	cách đây khoảng tháng em bị khó thở khi hít vào mỗi lần như vậy em chỉ muốn hít vào thật sâu nhưng hít sâu lần thì chỉ được tầm lần là cảm_thấy thoải_mái còn lần còn lại là đều hụt_hơi còn mỗi lần em ngáp em thấy cảm_giác rất thoải_mái em thấy có banh cũng có câu_hỏi như vậy nhưng bạn đó thì có thêm bị đau ngực còn em thì k ạ mong bác_sĩ trả_lời giúp em cho em biết em bị gì ạ 
cai thuốc_lá	dạ xin chào bác_sĩ con có vấn_đề thắc_mắc về sức_khỏe mong sẽ được bác_sĩ giai đáp bố con lâu_nay có hút thuốc và uống rượu bia thờ gian vừa rồi của đợt bố con bit tức ngực nên sợ hơn tuần nay bỏ thuốc nhưng lạ cái là bỏ tịt luôn và giờ cứ bị nôn khan ấy ạ thấy mùi thuốc là nôn uống bia vào cũng nôn và bị nhay cảm về mùi thuốc ấy ạ giờ không có gì cũng nôn bố con mà bỏ được thuốc con cũng mừng nhưng nó đột_ngột và kèm dấu_hiệu lạ nên con lo bác_sĩ có kinh_nghiệm r có thể xem giúp con những triệu_chứng ấy có gì bất_thường k ạ mong bác_sĩ sẽ nhận được tin_nhắn nay và sớm phản_hồi ạ cảm_ơn bác_sĩ 
khó thở	bệnh khó thởem chào bác_sĩ ạ khoảng tháng trở_lại đây e đột_nhiên khó thở khi hít vào biểu_hiện là thường_xuyên muốn hít sâu vào nhưng khi hít sâu khoảng lần thì chỉ được vài lần đủ khí xuống tới bụng còn lại là chỉ hít được tới lồng_ngực thì hết_sạch khí không thể hít thêm được nữa lúc này sẽ bị tức đoạn ngực ở giữa xương_ức ạ ngoài ra còn kèm thèo biểu_hiện là thường_xuyên lấy sức ho cái thật mạnh để bật được cái dịch gì đó trong lồng_ngực ra ấy ạ ko biết e mô_tả vậy đúng ko nữa nếu muốn đủ khí thì sẽ phải ngáp liên_tục ạ mỗi lần ngáp e sẽ hít được đủ khí ạ nhưng không phải lúc nào cũng ngáp được ạ em đã đi khám viện lớn là và phổi trung_ương viện thì chụp xquang tim phổi điện tim siêu_âm tim thử máu thông khí phổi siêu_âm ổ bụng kết_quả là mấy cái đó đều không sao bs đành kết_luận rối_loạn thần_kinh thực_vật và kê thuốc rối_loạn thần_kinh cùng loại thuốc có tên astmodil trị hen thì phải ạ nhưng e uống vài hôm ko đỡ mà nặng thêm í ạ vì vậy e đi khám viện phổi tw viện này cho cảm_ơn 
ho có đờm	tôi bị ho thường về ban_đêm ho kéo_dài có đờm vừa rồi có điều_trị đã hơn tháng nhưng chưa thuyên_giảm khi có mùi lạ là bị ho nhờ bác sỷ hướng_dẫn 
khó hít sâu	em chào bác_sĩ ạ khoảng tháng trở_lại đây e đột_nhiên khó thở khi hít vào biểu_hiện là thường_xuyên muốn hít sâu vào nhưng khi hít sâu khoảng lần thì chỉ được vài lần đủ khí xuống tới bụng còn lại là chỉ hít được tới lồng_ngực thì hết_sạch khí không thể hít thêm được nữa lúc này sẽ bị tức đoạn ngực ở giữa xương_ức ạ ngoài ra còn kèm thèo biểu_hiện là thường_xuyên lấy sức ho cái thật mạnh để bật được cái dịch gì đó trong lồng_ngực ra ấy ạ ko biết e mô_tả vậy đúng ko nữa nếu muốn đủ khí thì sẽ phải ngáp liên_tục ạ mỗi lần ngáp e sẽ hít được đủ khí ạ 
em bị bệnh gì ạ	dạo này em hay bị khó hít vào ko hít được đủ hơi khi hít vào còn bị đau tức ngực đâu và vai có cảm_giác co_rút i khám thì bác_sĩ bảo tim tốt huyết_áp thấp thôi e ăn hay bị buôn nôn mà hầu như là nôn từ ngực từ_cổ lên nên ít_khi bị thức_ăn ra ngoài bác_sĩ khám bảo e bị viêm dạ_dày kê thuốc e uống tuần đầu thấy cũng đỡ buồn_nôn nhưng vẫn khó thở tuần thì thuốc hết tác_dụng triệu_chứng vẫn buồn_nôn khó hít sâu đau tức ngực khi hít đầu vai co_rút giò còn thêm bệnh là bung đau râm râm thường_xuyên cho e hỏi e bị bệnh gì ạ 
khó thở	chào bác_sĩ lúc trước em hay bị khó thở trước khi ngủ nguyên một ngày không sao chỉ khi nằm ngủ là thấy khó thở khi đi cầu_thang hay đi bộ thì khi ngồi thì thấy hơi mệt và khó thở phải cố hít sâu gần_đây thì khó thở đó càng nhiều hơn và luôn cảm_thấy ngộp hít thở như bình_thường nhưng cảm_giác không_khí lấy vào ít cố hít thở sâu cũng không cảm_thấy bớt lâu_lâu để_ý thì thấy có đôi khi mình thở chậm nhịp thở cách nhau lâu vậy cho em hỏi em có nguy_cơ bị mắc bệnh gì ạ em cám_ơn bác_sĩ 
hỏi y kiến bác_sĩ	cho e hỏi bác_sĩ ạ con e tuoi có triệu_chứng thỉnh_thoảng lại hít sâu lấy hơi ma cháu gay yêu như thế có nguy_cơ bị tim k ạ 
khó thở	cô_em bị khó thở về đêm dạo này thấy khó thở tăng dần ngoài ra thấy tăng cân bất_thường do trước giờ cô không bao giờ tăng cân cho em hỏi có vấn_đề gì không ạ 
biến_chứng của viêm_xoang	xin chào các bác_sĩ khoảng tháng trước em hay bị chảy máu_cam và em có đi khám bệnh_viện thì bác_sĩ nói em bị viêm_xoang xoàn bên phải bs có cho em một số thuốc và chai xịt để điều_trị nhưng sau khi em dùng hết thuốc thì thấy bệnh cũng thuyên_giảm nên không tiếp_tục uống nữa và không đi tái_khám ạ dạo khoảng tháng này em thấy một số hiện_tượng lạ xảy ra ở xuất_hiện ở tai cũng như họng của em em tự dưng bị đau họng ở một bên phải cùng vị_trí với với viêm_xoang từ lúc dậy vào buổi sáng đến tới buổi tối khi ngủ luôn ạ cũng như đau ở một bên tai bên phải với lại em hay bị đau nửa đầu cùng vị_trí đau nhức ở xoang đôi khi hay nghẹt mũi nữa ạ khàng tiếng cũng đôi khi có ho thôi ạ không bị khó nuốt đôi khi hay bị ợ ạ và em không nổi hạch ở cổ nhưng dưới cầm có nổi một mục đỏ không đau ạ em có lên mạng tìm_hiểu thì thấy triệu_chứng của em giống với ung_thư vòm_họng nên em rất lo_lắng ạ mong bác_sĩ giải_đáp giúp em 
chụp cắt lớp	thưa bác sỹ cho em hỏi là em bị đau rát vùng ngực trái bên trên đau nhức sau lưng dưới bả_vai và buốt cánh tay trái dai_dẳng người mệt_mỏi da xanh_xao em đi chụp cắt lớp liều thấp tại đại_học y hà_nội và được kết_luận là giãn nhẹ phế_nang đỉnh phổi nhu_mô phổi còn lại không thấy khối khu_trú em cũng không biết là giãn phế_nang là do nguyên_nhân gì liệu có phải do u phổi hay bệnh nào về phổi không thưa bác sỹ 
lấy mẫu xét_nghiệm	bên mình có xét_nghiệm nhiễm virut rsv hay không 
khó thở khi hít sâu	em chào bs ạ là vào gần_đây em cảm_thấy khó khi thở sâu khi thở sâu thì không thoải_mái và khó_chịu cổ_họng em có đi siêu_âm thì bảo bình_thường ko sao cả khi đè mạnh vào cổ thì thở mới khoẻ hơn cho hỏi em có bị sao koạ 
thường_xuyên thở sâu	chào bác con năm nay tuổi dạo gần_đây con có cảm_giác khi thở vài phút phải thở sâu một lần con ngáp cũng hơi khó_khăn khi lên cầu thanh con phải thở sâu nhưng không khó thở hay hụt_hơi ạ con bị sao ạ con đang rất sợ bị suy_tim ạ 
đau tức ngực	chào bác_sĩ em bị đau tức ngực đc thời_gian trước chỉ là những cơn đau tức nhẹ và hít sâu lần là khỏi tuy nhiên hôm_nay đau tức lâu hơn cảm_giác tức lan sang bên khi hít sâu em có đi khám bên mình đầu tháng các chỉ_số bình_thường trừ chỉ_số về phổi là em muốn hỏi về triệu_chứng bệnh của em và muốn tái_khám để biết chính_xác em cám_ơn 
khó thở khi hít vào khổ_cực vô_cùng ạ	em chào bác_sĩ ạ khoảng tháng trở_lại đây e đột_nhiên khó thở khi hít vào biểu_hiện là thường_xuyên muốn hít sâu vào nhưng khi hít sâu khoảng lần thì chỉ được vài lần đủ khí xuống tới bụng còn lại là chỉ hít được tới lồng_ngực thì hết_sạch khí không thể hít thêm được nữa lúc này sẽ bị tức đoạn ngực ở giữa xương_ức ạ ngoài ra còn kèm thèo biểu_hiện là thường_xuyên lấy sức ho cái thật mạnh để bật được cái dịch gì đó trong lồng_ngực ra ấy ạ ko biết e mô_tả vậy đúng ko nữa nếu muốn đủ khí thì sẽ phải ngáp liên_tục ạ mỗi lần ngáp e sẽ hít được đủ khí ạ nhưng không phải lúc nào cũng ngáp được ạ em đã đi khám viện lớn là và phổi trung_ương viện thì chụp xquang tim phổi điện tim siêu_âm tim thử máu thông khí phổi siêu_âm ổ bụng kết_quả là mấy cái đó đều không sao bs đành kết_luận rối_loạn thần_kinh thực_vật và kê thuốc rối_loạn thần_kinh cùng loại thuốc có tên astmodil trị hen thì phải ạ nhưng e uống vài hôm ko đỡ mà nặng thêm í ạ vì vậy e đi khám viện phổi tw viện này cho chụp ct cắt lớp lồng_ngực và phổi đo hô_hấp test giãn phế_quản kết_quả cũng không có gì đặc_biệt ngoài câu theo_dõi viêm phế_quản và không cho thuốc gì em có năn_nỉ ỉ ôi thì bs kê cho e lọ thuốc xịt ventolin rồi dặn xịt xong thấy đỡ thì quay_lại điều_trị theo hướng hen phế_quản tuy nhiên e xịt vào cả tiếng đồng_hồ vẫn không làm giảm triệu_chứng e kể trên thuốc có tác_dụng sau phút và kéo_dài tiếng ạ thưa bác_sĩ e đã mô_tả rất kỹ triệu_chứng và quy_trình khám bệnh ở viện lớn rồi e thấy viện lớn khám không tận_tụy chút nào cả e mô_tả bệnh thì bác_sĩ cứ như nghĩ e nói đùa ấy ạ e rất mong được sự tư_vấn tận_tình của bác_sĩ ạ e cảm_ơn 
kết_quả xét_nghiệm máu	chào bác_sĩ em vừa kết_thúc uống thuốc lao_phổi tháng và vừa đi xét_nghiệm đờm nhưng chưa nhận kết_quả sau đó em có đi khám tổng_quát do thấy người mệt_mỏi và cảm_giác như đau họng kết_quả khám thì kết_luận là bị viêm_phổi và kết_quả xét_nghiệm máu có những chỉ_số e thấy nghi_vấn như sau lym mono mchc rdw cv pdw các chỉ_số còn lại đều nằm trong ngưỡng bình_thường bác_sĩ cho e hỏi những chỉ_số này là như thế nào với ạ vì đọc thông_tin trên internet thì thấy những bịnh rất nghiêm_trọng e cảm_ơn 
ho lâu ngày dẫn đến tức sườn trái và ngưc	sau đợt cảm cúm e bị ho lậ ngày kéo_dài khoảng đến nay gần tháng gần_đây cách khoảng ngày e họ bị đau cạnh sườn trái đến hôm_nay là ngày bác sỹ cho e hỏi là bị sao và giải_thích giúp e ạ em xin cám_ơn a 
vệ_sinh cho trẻ khi bị cảm sốt	chào bác sỹ con tôi được tuổi cháu mới bị sốt siêu_vi được ngày và hôm_nay đã cắt sốt tôi xin hỏi vệ_sinh tắm_rửa gội đầu lúc bé bị ốm như thế nào nên kiêng tắm gội hay vẫn tắm gội bình_thường được ạ cảm_ơn bác sỹ 
hạch ở cổ cách chữa_trị	bác sỹ cho e hỏi là em có cái hạch ở cổ k biết vì_sao tự dưng nó lên em hỏi nó có làm sao k ạ cho e cách trị vs ạ 
đờm trên cổ_họng	tôi thường bị có đờm trên cổ_họng xin cho biết nguyên_nhân và cách điều_trị chân_thành cám_ơn bác_sĩ 
lao_phổi	tôi muốn cho bn làm xn chẩn_đoán lao_phổi cần làm những xn gì và giá bao nhiêu bn đã chụp xq nghi_ngờ 
cúm a	chào bác_sĩ ạ vừa rồi cháu được chuẩn đoán mắc cúm a cháu đc bác_sĩ kê cho đơn_thuốc trong vòng ngày hiện cháu đã uống hết thuốc cháu không bị sốt nữa giờ chỉ ho có đờm vậy liệu cháu đã hết cúm a chưa ạ cháu có cần cách_ly nữa hay không và cháu có nên tiếp_tục mua thêm thuốc theo đơn cũ để uống tiếp hay phải ntn ạ 
diễn_biến cúm a	chào bác_sĩ ngày hôm_qua sau khi đi khám tại bệnh_viện mình được chuẩn đoán dương_tính cúm a đã làm x quang tim phổi thẳng và bác_sĩ kết_luận chưa có dấu_hiệu bị ảnh_hưởng và kê thuốc cho mình về nhà điều_trị sau ngày dùng thuốc thì sáng nay mình có hạ sốt thấp hơn một chút nhưng lại đau tức ngực và ho tăng kèm đờm chảy mũi nữa liệu có phải bị biến_chứng hay không 
hỏi về cyrfa	tôi vừa xét_nghiệm kết_quả cyrfa là có nguy_hiểm không làm thế nào để giảm chỉ_số xin cảm_ơn 
bệnh viêm phế_quản phổi	bac_si cho e hỏi voi ạ con e đuoc tháng cháu bị viêm phế_quản phổi e cho cháu len bvien nhi điều_trị đuoc ngay thì cháu cũng đỡ nhieu nen bac_si cho về nhưng vừa về nhà thi cháu lại bị ho nhiều a 
chi_phí kiểm_tra	bác sỹ cho m hỏi muốn tầm soát ung_thư đường hô_hấp thì tổng chi_phí lần khám xét_nghiệm là bao nhiêu ạ 
chăm_sóc trẻ sơ_sinh	bé nhà e dc tháng mà thở khò_khè thì uống thuốc j vậy ạ bé không ho không sốt 
viêm phế_quản	chào bác sỹ con em được tháng tuổi cháu bị viêm phế_quản lần này là lần thứ cháu đã được tiêm_phòng mũi phế cầu bác sỹ tư_vấn giúp em cách phòng_ngừa bệnh phế_quản với ạ thời_tiết thu đông rất hay bị em đã cho con tiêm_phòng mũi phế cầu rồi sao vẫn hay bị ạ tôi cảm_ơn bác sỹ 
chỉ_số cyfra	em chào bác_sĩ ạ vừa_qua em có khám định_kì tại bệnh_viện bên mình em thấy chỉ_số cyfra cao hơn bt và một số chỉ_số khác như bạch_cầu mono cũng cao đồng_thời thỉnh_thoảng em thở bị như kiểu hụt_hơi em xin bác_sĩ tư_vấn và cho em biết các chỉ_số kia là sao ạ em cám_ơn bác_sĩ ạ 
ảnh_hưởng dây thần_kinh số	con có quen một người bạn trước đây chị ấy bị ảnh_hưởng dây thần_kinh số và mặt có dấu_hiệu bị méo cách đây năm và đã tập vật_lý trị_liệu cách đây tuần chị ấy ngủ trưa và cánh tay bên trái bị cứng không thể tự cử_động phải lấy tay phải kéo ra mọi đau nhức đều xuất_phát từ phía bên trái vì chị ấy thuận_tay trái bên cạnh đó chị còn hay bị đau đầu và thường uống thuốc_bổ nào ginkgo bibola khi ngừng thuốc thì lại đau bác_sĩ cho con xin lời_khuyên đc không ạ 
tư_vấn về bệnh thần_kinh cơ xương khớp	tháng tôi bị dị_cảm tê bì ngón_tay giữa phải sau đó thêm phía ngón áp út mặt giáp ngón_giữa vài hôm sau thì yếu ngón_trỏ và ngón_cái có lúc ko đóng được cúc áo và đau râm_ran cả bàn_tay cổ vai gay cánh tay cẳng tay không có hiện_tượng gì bất_thường tôi đi khám chụp cộng_hưởng từ cột_sống cổ và siêu_âm ống cổ tay kết_quả thoát_vị đĩa_đệm c c ra sau thể trung_tâm gây hẹp ống sống mức_độ nặng chèn ép tủy nhẹ nhưng chưa gây phù tủy gây chèn ép rễ thần_kinh c c đoạn trước và trog lỗ tiết_hợp bên phình đĩa_đệm c ra xung_quanh gây chèn ép rễ thần_kinh c đoạn trước và trong lỗ tiết_hợp bên sau đó tôi điều_trị uống thuốc và vật_lý trị_liệu nhưng cũng không thấy đỡ và về sau có xuất_hiện thêm triệu_chứng thỉnh_thoảng có buốt nhẹ dọc cẳng tay mô cơ ngón_cái mền teo nhẹ da bàn_tay có hiện_tượng tím tái khi thõng tay xuống tháng tôi sang bệnh_viện bạch_mai khám tại tt phục_hồi chức_năng đo điện_cơ cho kết_quả tổn_thương không hòan toàn sợi trục vận_động dây thần_kinh giữa phải và tiêm depomedron vào tay phải lần cách nhau tháng và uống thuốc kết_hợp vật_lý trị_liệu nhưng khi tiêm lần đầu thấy đỡ nhưng sau lại vẫn vậy ngày tôi tiếp_tục khám tại bệnh_viện đại_học y kết_quả đo điện_cơ có hình_ảnh bất_thường dẫn_truyền dây thần_kinh giữa đoạn qua ống cổ tay chuẩn đoán hội_chứng ống cổ tay triệu_chứng ko điển_hình và tiếp_tục uống thuốc điều_trị và kết_hợp vật_lý trị_liệu nhưng cũng không đỡ cuối tháng tôi tiếp_tục khám tại phòng_khám tư tại tphcm kết_quả chụp mri cẳng tay tổn_thương phần mền nhóm cơ_gấp các ngón cơ_gấp cổ tay_quay phần cơ_sấp tròn kết_quả đo điện_cơ tổn_thương dây thần_kinh giữa thể hỗn_hợp vận_động và cảm_giác giai_đoạn mãn_tính và phẫu_thuật cẳng tay giải_phóng chèn ép dây thần_kinh giữa sau khi mổ tiếp_tục uống thuốc điều_trị khoảng tháng ngày tôi lại ra bệnh_viện việt đức khám lại kết_quả chụp cộng_hưởng từ cột_sống cổ chèn ép tủy nhẹ nhưng chưa gây phù tủy giống như lần chụp trước nhưng chỉ khác là ghi rõ chưa chèn ép rễ thần_kinh kết_quả điện_cơ không có bằng_chứng tổn_thương các rễ cổ từ c d bên phải đến các dây thần_kinh ngoại_biên chi trên hai bên đặc_biệt là thần_kinh giữa sau khi mổ triệu_chứng yếu ngón_tay trỏ và ngón_cái đã được cải_thiện khỏe hơn trước nhưng hiện_tượng dị_cảm tê bì ngón_tay giữa và ngón áp út mặt giáp ngón_giữa đau râm_ran cả bàn_tay buốt nhẹ dọc cẳng tay mô cơ ngón teo nhẹ da bàn_tay có hiện_tượng tím tái khi thõng tay xuống vẫn không thuyên_giảm và gần_đây có triệu_chứng mỏi nhẹ ở vai đến nay tôi không biết nên khám ở đâu khám chuyên_sâu về cái gì điều_trị ra sao không biết chính_xác minh nguyên_nhân bệnh gì dẫn đến rất mong nhận được sự quan_tâm tư_vấn của phòng_khám tôi xin trân_trọng cảm_ơn 
động_kinh vô căn	chào bác_sĩ cho em hỏi ạ từ trước đến nay em rất khỏe_mạnh không có bệnh_tật tai_nạn tháng năm vừa rồi em đột_nhiên bị ngất lúc tỉnh lại thấy mọi người tả bị co_giật xùi bọt_mép vì chủ_quan nên không đi khám đến tháng năm em lại bị lần thứ lần này em đã đi khám tại bệnh_viện bạch_mai làm các chụp chiếu và xét_nghiệm thì được bác_sĩ chẩm đoán mắc động_kinh ngoài điện não đồ có dấu_hiệu bất_thường khi có sóng não chạy ra điểm đo sinh_hóa thì mọi kết_quả khác đều bình_thường và được cho sử_dụng thuốc depakine với liều_lượng viên ngày em hiện đang rất lo_lắng vì tình_trạng bệnh vì tính_chất đột_ngột không biết trước tâm_lý cũng như công_việc hiện_tại ngoài ra dùng thuốc có tác_dụng phụ rất hại bác_sĩ cho em hỏi tình_trạng bệnh như thế này của em có chưa khỏi dứt_điểm được không dùng thuốc kết_hợp với điều_chỉnh lại chế_độ sinh_hoạt điều_độ thì có ngăn cơn co_giật không ạ em xin cảm_ơn 
đau nửa đầu bên trái thường_xuyên	thưa bác_sĩ mong bác_sĩ giải_thích giúp con ạ con sanh k thường_xuyên bị nhức đau nửa đầu bên trái nhìu khi ê âm_ỉ đầu r lại đau có khi đau trên đỉnh đầu có khi lại đau sau gáy tai có khi theo tuần tháng thì bị lần dạo này rất đau thường_xuyên lắm ạ k biết có bị gì không bác_sĩ con rất lo ạ 
đau đầu	thưa bác_sĩ ngày gần_đây e cảm_thấy đau đầu ở bên phải phía trên gần đỉnh đầu vị_trí cách tai tầm cm bình_thường thì không sao nhưng lâu_lâu cách vài phút lại đau_nhói lên từng cơn giống như mạch_đập cho em hỏi là triệu_chứng đó có sao không ạ 
bác_sĩ cho em hỏi ạ	bác_sĩ ơi hôm_qua em có lỡ hút tinh dần cỏ vài tiếng sau cơn phê em tỉnh dậy thấy cơ_thể bình_thường nhưng đến đêm em lại khó ngủ buồn_nôn cơ_thể tự cử_động đến sáng nay thì có đỡ nhưng vẫn còn cảm_giác buồn_nôn khó ngủ và cơ_thể tự cử_động thì có sao không ạ 
hỏi về việc dùng thuốc ạ	chào bác_sĩ em muốn hỏi về việc dùng thuốc new calotine của binex và silyhepatis của cho a pharm cho trẻ_nhỏ bé nhà em được tháng nặng kg bị chậm phát_triển đi khám thì được bác_sĩ ở bệnh_viện kê cho thuốc kia với liều_lượng new calotine ngày viên chia lần silyhepatis ngày ống em thắc_mắc là trong hướng_dẫn sử_dụng của new calotine ghi là thuốc chỉ dành cho tuổi trở lên vậy bé nhà em uống thì có ảnh_hưởng gì không ạ mong được bác_sĩ giải_đáp ạ 
đau đầu	xin chào bác_sĩ tôi năm nay tuổi nhưng dạo này cứ sau khi ngủ dậy vào buổi sáng tôi có triệu_chứng đau nửa đầu phần sau gáy xin hỏi bác_sĩ tôi đang bị làm sao tôi có cần đến bệnh_viện không cảm_ơn bác_sĩ 
co_giật các cơ	chào bác_sĩ hồi tháng em có dị_ứng dầu_máy phải đi viện chuyền dịch soldem và uống thuốc dị_ứng vì em ở một mình nên sau đó hôm thì tự_nhiên đêm nằm cứ nghỉ tiêu_cực lung_tung rồi thấy sở hại và thức trắng đêm nhưng em vẫn đi làm cho tới đêm thứ thì em ngủ được vì mệt sau đó hôm nào em cũng khó đi vào giấc_ngủ và cứ suy nghỉ cảm_thấy lo_lắng bồn_chồn và xuất_hiện các cơ chân tay đùi lưng đôi khi cứ rung lên em có đến bv xin thuốc giúp dễ ngủ mặc dù mỗi ngày em cố_gắng ngủ tầm h nhưng tình_trạng giật các cơ vẫn không hết em phải làm sao ạ hiện_tại vẫn đang có tình_trạng khó vào giấc_ngủ nhưng em xem phim đọc báo sau đó thì ngủ dc 
